Timestamp,What is your current graduation year?,How would you describe your race and ethnicity? Check all that apply.,What is your intended concentration area(s)?,How would you describe your gender identity? Check all that apply.,Do you identify as LGBTQ+?,"Overall, how would you describe your political views relative to those of your parents? ",Have you ever been evaluated by Brown EMS (Emergency Medical Services)? Select all that apply.,How old was your mother when she had you? Enter -1 if unsure.,Were you allowed to watch SpongeBob SquarePants as a kid?,How did you meet your most recent significant other? Pick the option that best applies.,What percentage of Brown students do you think come from a family in the top 1% of household incomes?,"What is the minimum salary you would require to work in a role that directly conflicts with your morals? 

Enter -1 if you would not do this for any amount of money.",Which of the following substances have you used recreationally in the past six months?,Do you change with your blinds open?,Column 1,Column 2
3/6/2025 13:03:53,2026,White,Physical Sciences,Man,No,My views are somewhat more liberal,No,31,Unsure,Mutual friends/met as friends,10,-1,None of the above,No,,
3/6/2025 13:09:04,2028,White,Physical Sciences,Woman,Yes,My views are somewhat more liberal,No,37,Unsure,Mutual friends/met as friends,10,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/6/2025 13:13:35,2027,Black,Life Sciences,Man,No,My views are somewhat more conservative,No,-1,Yes,I have not had a significant other,30,-1,None of the above,No,,
3/6/2025 13:16:12,2025,"Hispanic or Latino, White",Social Sciences,Man,Yes,My views are similar to those of my parents,No,33,Yes,High school,25,-1,None of the above,"Yes, and I do think people can see me",,
3/6/2025 13:16:22,2027,White,"Humanities/ Arts, Physical Sciences",Man,No,My views are somewhat more liberal,No,30,Yes,Dorm,40,-1,Alcohol,No,,
3/6/2025 13:22:51,2027,White,Humanities/ Arts,Woman,Yes,My views are somewhat more liberal,No,35,No,I have not had a significant other,10,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 13:26:01,2026,White,"Humanities/ Arts, Life Sciences",Woman,Yes,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol",33,No,Dating app,5,-1,"Alcohol, Marijuana",No,,
3/6/2025 13:34:32,2028,White,"Physical Sciences, Social Sciences",Man,Yes,My views are somewhat more liberal,No,33,No,I have not had a significant other,20,-1,Alcohol,"Yes, and I do think people can see me",,
3/6/2025 13:42:22,2025,White,"Humanities/ Arts, Life Sciences",Woman,No,My views are similar to those of my parents,No,38,Yes,I have not had a significant other,15,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 14:01:47,2027,"Asian, Hispanic or Latino",Physical Sciences,Woman,Yes,My views are somewhat more liberal,No,47,Yes,Mutual friends/met as friends,15,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 14:06:33,2025,White,Physical Sciences,Man,No,My views are somewhat more liberal,"Yes, for a different reason",29,No,Mutual friends/met as friends,90,-1,Alcohol,"Yes, and I do think people can see me",,
3/6/2025 14:24:41,2027,Black,Physical Sciences,"Man, Prefer not to answer",No,Prefer not to answer,No,21,Yes,Prefer not to answer,10,-1,None of the above,No,,
3/6/2025 14:30:04,2026,Hispanic or Latino,Physical Sciences,Non-binary,Yes,My views are much more liberal,No,-1,No,I have not had a significant other,20,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana",No,,
3/6/2025 15:02:19,2025,White,Humanities/ Arts,Woman,Yes,My views are somewhat more liberal,No,30,Yes,Mutual friends/met as friends,20,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 15:08:54,2026,Asian,Life Sciences,Man,No,My views are somewhat more liberal,No,29,Yes,I have not had a significant other,20,-1,None of the above,No,,
3/6/2025 15:14:27,2028,Asian,"Humanities/ Arts, Life Sciences",Woman,Prefer not to answer,Prefer not to answer,No,31,Unsure,Prefer not to answer,20,-1,None of the above,No,,
3/6/2025 15:14:35,2027,White,Humanities/ Arts,Woman,Yes,My views are similar to those of my parents,No,32,Yes,Mutual friends/met as friends,6,-1,Prefer not to answer,No,,
3/6/2025 15:18:19,2025,Middle Eastern or North African,Life Sciences,Woman,No,Unsure,"Yes, for an incident involving drugs and/or alcohol",27,Yes,Dorm,80,-1,"Alcohol, Marijuana",Prefer not to answer,,
3/6/2025 15:21:02,2027,Black,Life Sciences,Woman,No,My views are similar to those of my parents,No,27,No,Dating app,75,-1,Alcohol,No,,
3/6/2025 15:22:27,2026,Asian,"Life Sciences, Physical Sciences",Man,No,My views are similar to those of my parents,No,33,No,Class,5,-1,Alcohol,No,,
3/6/2025 15:24:38,2028,"Hispanic or Latino, White","Humanities/ Arts, Social Sciences",Man,Yes,My views are somewhat more liberal,No,33,Unsure,"Extracurricular activities (athletics, clubs, other campus organizations)",40,-1,"Alcohol, Marijuana, Nicotine","Yes, and I do think people can see me",,
3/6/2025 15:30:17,2025,"Asian, White",Humanities/ Arts,Man,No,My views are similar to those of my parents,No,34,Yes,I have not had a significant other,20,-1,Alcohol,No,,
3/6/2025 15:31:23,2026,Asian,Physical Sciences,Man,No,My views are similar to those of my parents,No,21,Yes,I have not had a significant other,60,-1,None of the above,"Yes, but I don't think people can see me",,
3/6/2025 15:32:10,2026,"Asian, White",Physical Sciences,Man,No,My views are somewhat more liberal,No,31,Yes,I have not had a significant other,4,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 15:33:18,2026,White,Physical Sciences,Man,No,My views are somewhat more liberal,No,31,Unsure,Mutual friends/met as friends,15,-1,"Alcohol, Marijuana",No,,
3/6/2025 15:40:59,2027,Black,"Humanities/ Arts, Physical Sciences",Man,No,My views are somewhat more liberal,No,34,Yes,I have not had a significant other,25,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 15:43:04,2025,White,"Humanities/ Arts, Social Sciences",Man,No,My views are somewhat more liberal,No,36,Yes,Class,75,-1,"Alcohol, Marijuana",No,,
3/6/2025 15:44:31,2026,White,Social Sciences,Woman,Yes,My views are somewhat more liberal,No,42,Yes,Class,20,-1,"Alcohol, Inhalants (Poppers/Whip-its), Ketamine, Marijuana, Nicotine, Unprescribed use of prescription stimulants (Adderall)","Yes, and I do think people can see me",,
3/6/2025 15:45:10,2026,White,"Physical Sciences, Social Sciences","Man, Non-binary, Questioning",Yes,My views are similar to those of my parents,"Yes, for a different reason",33,Yes,Class,30,-1,"Alcohol, Ketamine, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 15:52:01,2025,"Asian, White",Physical Sciences,Man,No,My views are somewhat more liberal,No,-1,Yes,Party/social event,95,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 15:53:36,2025,White,Social Sciences,Woman,No,My views are similar to those of my parents,No,35,No,Mutual friends/met as friends,20,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana","Yes, but I don't think people can see me",,
3/6/2025 15:54:35,2026,Asian,Physical Sciences,Man,No,Unsure,No,-1,Unsure,Prefer not to answer,50,-1,None of the above,No,,
3/6/2025 15:55:16,2026,Asian,Physical Sciences,Man,No,My parents have significantly different political views from each other,No,34,Yes,Dorm,15,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 15:56:48,2028,Asian,Physical Sciences,Woman,No,My views are much more liberal,No,28,Unsure,I have not had a significant other,30,-1,Alcohol,No,,
3/6/2025 15:58:02,2028,Asian,Life Sciences,Woman,No,My views are somewhat more liberal,No,36,Yes,I have not had a significant other,20,-1,Alcohol,No,,
3/6/2025 16:01:05,2025,White,Humanities/ Arts,Woman,Yes,My views are somewhat more liberal,"Yes, for a different reason",34,Yes,Class,10,-1,"Alcohol, Ketamine, Marijuana, Nicotine",No,,
3/6/2025 16:34:24,2027,White,"Humanities/ Arts, Social Sciences",Man,No,My views are much more conservative,No,45,No,Mutual friends/met as friends,30,-1,Alcohol,Prefer not to answer,,
3/7/2025 10:26:47,2026,Asian,"Humanities/ Arts, Physical Sciences",Man,No,My views are much more liberal,No,31,Yes,I have not had a significant other,20,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 10:31:03,2027,White,Social Sciences,Man,No,My views are similar to those of my parents,No,35,Yes,Class,45,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 10:32:22,2027,Asian,"Humanities/ Arts, Life Sciences",Woman,No,My views are similar to those of my parents,"Yes, for a different reason",30,Yes,I have not had a significant other,30,-1,None of the above,"Yes, but I don't think people can see me",,
3/7/2025 10:43:16,2026,"Asian, White",Physical Sciences,Man,No,My views are somewhat more liberal,No,34,No,Mutual friends/met as friends,5,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 10:43:18,2026,Asian,Physical Sciences,Man,No,My views are somewhat more liberal,No,29,Yes,Social media,10,-1,Alcohol,No,,
3/7/2025 10:50:39,2028,Asian,Life Sciences,Man,No,My views are somewhat more liberal,No,36,Yes,I have not had a significant other,30,-1,None of the above,No,,
3/7/2025 10:51:46,2027,White,Physical Sciences,Man,No,My views are somewhat more liberal,No,47,Yes,High school,18,-1,Alcohol,No,,
3/7/2025 10:52:06,2027,"Asian, Black, Hispanic or Latino",Physical Sciences,Man,No,My views are somewhat more liberal,No,35,Yes,Dating app,30,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/7/2025 10:53:26,2027,White,Physical Sciences,Woman,No,My views are somewhat more liberal,No,33,No,Mutual friends/met as friends,20,-1,None of the above,No,,
3/7/2025 10:54:09,2028,White,Prefer not to answer,Man,No,My parents have significantly different political views from each other,No,-1,No,High school,30,-1,"Alcohol, Cocaine, Ketamine, LSD/Acid, Marijuana, Nicotine","Yes, and I do think people can see me",,
3/7/2025 10:54:28,2028,Middle Eastern or North African,Prefer not to answer,Woman,No,My views are similar to those of my parents,No,32,No,Party/social event,35,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 10:57:51,2028,"Asian, White",Social Sciences,Man,No,My views are somewhat more conservative,No,25,Yes,Class,20,-1,None of the above,"Yes, but I don't think people can see me",,
3/7/2025 10:58:06,2028,Asian,Physical Sciences,Man,No,My views are somewhat more conservative,No,-1,Yes,I have not had a significant other,20,-1,None of the above,No,,
3/7/2025 11:03:03,2026,White,Social Sciences,Man,No,My views are similar to those of my parents,No,32,No,Party/social event,20,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 11:04:16,2026,Asian,Life Sciences,Man,No,My views are somewhat more liberal,No,-1,Yes,I have not had a significant other,20,-1,Alcohol,No,,
3/7/2025 11:04:21,2025,White,Physical Sciences,Woman,Yes,My views are somewhat more liberal,No,36,Yes,Dating app,20,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana",No,,
3/7/2025 11:11:27,2025,White,Humanities/ Arts,Woman,Yes,My views are similar to those of my parents,No,29,No,High school,20,-1,"Alcohol, Marijuana, Nicotine",No,,
3/7/2025 11:19:25,2026,White,"Humanities/ Arts, Physical Sciences",Man,No,My views are somewhat more liberal,No,40,Yes,I have not had a significant other,40,-1,Alcohol,No,,
3/7/2025 11:19:52,2025,White,Physical Sciences,Man,No,My views are similar to those of my parents,No,35,No,Class,25,-1,"Alcohol, Marijuana, Nicotine, Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me",,
3/7/2025 11:26:17,2026,White,Social Sciences,Woman,No,My views are similar to those of my parents,No,31,No,Mutual friends/met as friends,30,-1,None of the above,"Yes, and I do think people can see me",,
3/7/2025 11:37:51,2026,Black,Life Sciences,Woman,No,My views are somewhat more liberal,"Yes, for a different reason",31,Yes,I have not had a significant other,60,-1,Alcohol,"Yes, and I do think people can see me",,
3/7/2025 11:37:59,2026,White,Life Sciences,Woman,Yes,My views are much more liberal,No,30,No,High school,30,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 11:45:47,2025,Asian,"Humanities/ Arts, Physical Sciences, Social Sciences",Woman,No,My views are much more liberal,No,34,Yes,Dorm,30,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 11:47:35,2026,Asian,Life Sciences,Man,No,My views are much more liberal,"Yes, for a different reason",-1,Yes,High school,60,-1,"Alcohol, Marijuana, Psilocybin (Psychedelic mushrooms)","Yes, and I do think people can see me",,
3/7/2025 11:49:10,2027,Asian,Physical Sciences,Man,No,My views are somewhat more conservative,No,26,Yes,High school,40,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 11:49:28,2027,Hispanic or Latino,Physical Sciences,Man,No,My views are somewhat more liberal,No,31,No,Mutual friends/met as friends,20,-1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/7/2025 11:53:09,2028,Asian,"Life Sciences, Social Sciences",Man,No,My views are somewhat more liberal,"Yes, for a different reason",29,Yes,I have not had a significant other,40,-1,None of the above,No,,
3/7/2025 11:57:26,2028,Middle Eastern or North African,Physical Sciences,Man,No,Unsure,No,31,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",20,-1,"Alcohol, Marijuana, Nicotine, Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me",,
3/7/2025 12:07:37,2027,White,Social Sciences,Man,No,My views are somewhat more liberal,No,38,Yes,Class,30,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/7/2025 12:21:20,2028,Asian,Physical Sciences,Woman,No,Unsure,No,39,Yes,I have not had a significant other,20,-1,Alcohol,"Yes, and I do think people can see me",,
3/7/2025 12:29:24,2027,White,"Humanities/ Arts, Life Sciences, Social Sciences",Man,No,My views are somewhat more liberal,No,31,Yes,Class,30,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 12:38:13,2025,"Hispanic or Latino, White","Humanities/ Arts, Life Sciences",Non-binary,Yes,My views are much more liberal,"Yes, for a different reason",34,No,"Extracurricular activities (athletics, clubs, other campus organizations)",50,-1,"Alcohol, Marijuana, Nicotine","Yes, and I do think people can see me",,
3/7/2025 12:38:25,2026,White,Humanities/ Arts,Woman,Unsure,My views are similar to those of my parents,"Yes, for a different reason",30,No,I have not had a significant other,25,-1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/7/2025 12:46:40,2027,Hispanic or Latino,Life Sciences,Woman,Yes,My views are similar to those of my parents,No,40,Yes,Dorm,40,-1,"Alcohol, Cocaine, Marijuana, MDMA (Ecstasy/Molly), Nicotine, Psilocybin (Psychedelic mushrooms)",No,,
3/7/2025 12:48:27,2028,Middle Eastern or North African,"Life Sciences, Social Sciences",Man,No,My views are somewhat more liberal,No,32,Yes,I have not had a significant other,40,-1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/7/2025 12:50:03,2028,White,Social Sciences,Woman,No,My views are similar to those of my parents,No,27,Yes,High school,35,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 12:52:44,2028,"Asian, White",Physical Sciences,Woman,No,My views are similar to those of my parents,No,25,No,"Extracurricular activities (athletics, clubs, other campus organizations)",15,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 12:54:39,2027,White,Physical Sciences,Man,Yes,My views are much more liberal,No,35,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",40,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 12:56:38,2028,White,Physical Sciences,Woman,Unsure,My views are much more liberal,"Yes, for a different reason",40,No,High school,70,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 12:57:20,2028,White,Humanities/ Arts,Man,No,My views are somewhat more liberal,No,22,Yes,Marriage Pact,35,-1,"Alcohol, Marijuana, Nicotine",No,,
3/7/2025 13:04:23,2025,White,"Physical Sciences, Social Sciences",Man,No,Unsure,No,28,Yes,Class,25,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 13:05:33,2027,White,Social Sciences,Woman,No,My views are somewhat more liberal,"Yes, for a different reason",35,No,Party/social event,25,-1,"Alcohol, Nicotine","Yes, but I don't think people can see me",,
3/7/2025 13:05:35,2026,"Black, White",Life Sciences,Woman,Yes,My views are much more liberal,No,38,Yes,Job/internship,40,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 13:14:52,2026,"Asian, White","Humanities/ Arts, Physical Sciences",Woman,Yes,My views are somewhat more liberal,No,37,Yes,High school,40,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 13:21:42,2025,Asian,Physical Sciences,Man,No,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol",-1,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",35,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 13:38:00,2028,Asian,"Physical Sciences, Social Sciences",Man,No,My views are similar to those of my parents,No,34,No,Prefer not to answer,10,-1,Alcohol,No,,
3/7/2025 13:41:18,2025,White,Social Sciences,"Man, Non-binary",Yes,My views are somewhat more liberal,No,27,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",24,-1,Alcohol,No,,
3/7/2025 13:46:38,2027,White,"Humanities/ Arts, Social Sciences",Man,Unsure,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol",35,Yes,Mutual friends/met as friends,5,-1,Alcohol,"Yes, and I do think people can see me",,
3/7/2025 13:53:04,2028,Asian,Life Sciences,Man,No,My views are much more liberal,No,37,Yes,I have not had a significant other,30,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 13:53:48,2025,Black,Social Sciences,Man,No,My views are somewhat more liberal,No,-1,No,Mutual friends/met as friends,15,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 13:54:34,2028,White,Life Sciences,Man,No,My views are somewhat more conservative,No,33,Yes,Party/social event,20,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/7/2025 13:58:21,2027,Asian,Humanities/ Arts,Woman,No,My views are somewhat more liberal,No,28,No,Class,20,-1,None of the above,No,,
3/7/2025 14:02:33,2025,Asian,"Humanities/ Arts, Social Sciences",Man,No,My views are somewhat more liberal,No,32,Unsure,Class,13,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 14:13:01,2028,"Hispanic or Latino, White",Social Sciences,Woman,Yes,My views are much more liberal,No,-1,No,High school,30,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 14:13:44,2026,Asian,Life Sciences,Woman,Yes,My views are somewhat more liberal,No,26,Yes,Job/internship,60,-1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/7/2025 14:16:02,2027,"Hispanic or Latino, White",Humanities/ Arts,Woman,No,My views are similar to those of my parents,"Yes, for a different reason",39,No,"Extracurricular activities (athletics, clubs, other campus organizations)",30,-1,Alcohol,"Yes, but I don't think people can see me",,
3/7/2025 14:19:10,2028,Hispanic or Latino,Life Sciences,Man,No,My views are similar to those of my parents,No,35,Yes,Middle school,25,-1,None of the above,"Yes, but I don't think people can see me",,
3/7/2025 14:19:16,2025,Asian,Physical Sciences,Man,Yes,My views are somewhat more liberal,"Yes, for a different reason",32,Unsure,Dating app,20,-1,Alcohol,No,,
3/7/2025 14:25:52,2028,Asian,Life Sciences,Woman,Yes,My views are much more liberal,No,-1,No,I have not had a significant other,35,-1,None of the above,No,,
3/7/2025 14:26:10,2028,Asian,Social Sciences,Woman,Yes,My views are somewhat more liberal,No,20,Yes,I have not had a significant other,3,-1,None of the above,No,,
3/7/2025 14:28:22,2028,Asian,"Life Sciences, Physical Sciences",Woman,No,My views are somewhat more liberal,No,28,Yes,Orientation,70,-1,None of the above,"Yes, but I don't think people can see me",,
3/7/2025 14:31:31,2027,"Black, White",Physical Sciences,Man,No,My views are much more liberal,No,29,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",55,-1,"Alcohol, Marijuana, Nicotine","Yes, and I do think people can see me",,
3/7/2025 14:49:55,2027,"Black, White",Humanities/ Arts,Woman,Yes,My views are somewhat more liberal,No,34,No,Family friends,25,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/7/2025 14:50:31,2028,Asian,"Humanities/ Arts, Life Sciences, Physical Sciences, Social Sciences",Man,No,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol, Yes, for a different reason",33,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",20,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/7/2025 14:53:08,2026,Black,Social Sciences,Woman,No,My views are somewhat more liberal,No,36,Yes,I have not had a significant other,20,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 14:54:57,2025,Asian,Physical Sciences,Woman,Yes,My views are much more liberal,No,31,No,I have not had a significant other,20,-1,"Alcohol, Marijuana",No,,
3/7/2025 14:56:33,2025,White,Humanities/ Arts,Woman,No,My views are somewhat more liberal,No,37,Yes,Dorm,10,-1,None of the above,No,,
3/7/2025 15:20:19,2025,"Asian, White",Life Sciences,Woman,No,My views are somewhat more conservative,No,36,No,Dorm,30,-1,Alcohol,No,,
3/7/2025 15:25:37,2027,White,"Life Sciences, Social Sciences",Man,No,My views are somewhat more liberal,No,42,No,Class,20,-1,"Alcohol, Marijuana, Nicotine, Psilocybin (Psychedelic mushrooms)","Yes, and I do think people can see me",,
3/7/2025 15:50:41,2025,White,Social Sciences,Man,No,My views are somewhat more conservative,"Yes, for a different reason",40,Yes,Mutual friends/met as friends,33,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 15:26:43,2027,White,Physical Sciences,Woman,No,My parents have significantly different political views from each other,No,38,No,"Extracurricular activities (athletics, clubs, other campus organizations)",30,0,Alcohol,No,,
3/7/2025 11:24:17,2025,White,Physical Sciences,Man,No,Unsure,No,27,Unsure,Class,0,0,None of the above,"Yes, and I do think people can see me",,
3/4/2025 11:18:22,2028,Asian,Life Sciences,Man,No,My views are somewhat more liberal,No,1,Yes,I have not had a significant other,10,1,Alcohol,No,,
3/4/2025 11:42:25,2027,Asian,Humanities/ Arts,Man,No,My views are somewhat more conservative,No,32,No,"Extracurricular activities (athletics, clubs, other campus organizations)",30,1,"Alcohol, Marijuana, Nicotine",No,,
3/4/2025 11:52:17,2028,White,Physical Sciences,Man,No,My views are somewhat more liberal,No,38,Yes,Class,80,1,Alcohol,"Yes, and I do think people can see me",,
3/4/2025 11:54:03,2028,Black,Physical Sciences,Woman,No,My views are much more conservative,No,30,Yes,High school,1,1,None of the above,No,,
3/4/2025 11:55:49,2027,White,Physical Sciences,Woman,No,My views are somewhat more liberal,No,43,Unsure,High school,8,1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 12:07:39,2025,"Black, White","Humanities/ Arts, Social Sciences",Non-binary,Yes,My views are much more liberal,No,36,Yes,I have not had a significant other,45,1,Alcohol,No,,
3/4/2025 12:57:16,2026,Asian,Life Sciences,Man,No,My views are similar to those of my parents,No,27,Unsure,na,60,1,Alcohol,No,,
3/4/2025 14:18:43,2027,Hispanic or Latino,Social Sciences,Woman,No,My views are somewhat more liberal,No,43,Yes,I have not had a significant other,10,1,Marijuana,"Yes, but I don't think people can see me",,
3/4/2025 15:39:55,2027,"Hispanic or Latino, White",Physical Sciences,Man,No,My views are similar to those of my parents,No,1,Yes,Class,50,1,"Alcohol, Marijuana",No,,
3/6/2025 12:13:54,2027,Black,Life Sciences,Man,Yes,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol",37,No,Mutual friends/met as friends,8,1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana, Nicotine, Unprescribed use of prescription stimulants (Adderall)","Yes, and I do think people can see me",,
3/6/2025 13:52:49,2027,Asian,Physical Sciences,Woman,No,My views are somewhat more liberal,No,26,Yes,Class,40,1,None of the above,"Yes, but I don't think people can see me",,
3/6/2025 16:02:13,2026,Hispanic or Latino,Humanities/ Arts,Man,No,My views are somewhat more liberal,No,27,Yes,Mutual friends/met as friends,20,1,Alcohol,No,,
3/7/2025 11:17:00,2027,Black,Life Sciences,Man,No,My views are similar to those of my parents,No,1,Yes,Class,60,1,Alcohol,No,,
3/7/2025 12:08:22,2027,"Black, White",Social Sciences,Man,No,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol",38,Yes,Mutual friends/met as friends,2,1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/7/2025 12:29:41,2027,Hispanic or Latino,Social Sciences,Woman,Yes,My views are somewhat more liberal,No,32,No,Mutual friends/met as friends,30,1,Alcohol,No,,
3/7/2025 15:08:38,2026,White,"Humanities/ Arts, Life Sciences",Woman,No,My views are similar to those of my parents,"Yes, for a different reason",29,No,I have not had a significant other,15,1,Alcohol,"Yes, and I do think people can see me",,
3/4/2025 13:29:29,2026,Middle Eastern or North African,"Humanities/ Arts, Physical Sciences",Man,Yes,My views are somewhat more liberal,"Yes, for an incident involving drugs and/or alcohol",34,Yes,Party/social event,40,2,"Alcohol, Unprescribed use of prescription stimulants (Adderall)",No,,
3/4/2025 12:42:47,2027,"White, Prefer not to answer",Humanities/ Arts,"Woman, Man",Yes,Prefer not to answer,"Yes, for an incident involving drugs and/or alcohol, Yes, for a different reason",14,Yes,I saw fine shyte at the gym and slid as she was doing hip thrusters,20,5,"Alcohol, Cocaine, Inhalants (Poppers/Whip-its), Ketamine, LSD/Acid, Marijuana, Methamphetamine, MDMA (Ecstasy/Molly), Nicotine, Psilocybin (Psychedelic mushrooms), Unprescribed use of prescription stimulants (Adderall), None of the above, Unsure, Prefer not to answer, YOUR mom","Yes, and I do think people can see me",,
3/4/2025 15:56:20,2025,Hispanic or Latino,Humanities/ Arts,Woman,Unsure,My views are much more liberal,No,27,No,I have not had a significant other,56,9,"Alcohol, Cocaine, Inhalants (Poppers/Whip-its), Ketamine, LSD/Acid, Marijuana, Methamphetamine, MDMA (Ecstasy/Molly), Nicotine, Psilocybin (Psychedelic mushrooms), Unprescribed use of prescription stimulants (Adderall)","Yes, but I don't think people can see me",,
3/7/2025 14:55:41,2026,Asian,Life Sciences,Woman,Unsure,My views are somewhat more liberal,No,35,Yes,High school,7,60,Alcohol,"Yes, and I do think people can see me",,
3/7/2025 15:29:47,2028,"Black, White",Life Sciences,Woman,Yes,My parents have significantly different political views from each other,No,28,Yes,I have not had a significant other,40,80,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 12:53:30,2027,Native American or Alaska Native,Humanities/ Arts,Man,Yes,My views are somewhat more liberal,No,18,No,"Extracurricular activities (athletics, clubs, other campus organizations)",80,100,"Alcohol, Marijuana",No,,
3/6/2025 12:00:52,2027,Asian,Physical Sciences,Woman,No,My views are much more liberal,No,33,Yes,High school,30,100,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/7/2025 15:00:00,2026,Black,Social Sciences,Woman,No,My views are somewhat more liberal,"Yes, for a different reason",32,Yes,Party/social event,10,100,Alcohol,No,,
3/6/2025 13:20:28,2027,Asian,Physical Sciences,"Woman, Questioning",Unsure,My views are similar to those of my parents,No,30,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",41,120,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 15:46:59,2027,"Asian, Black",Physical Sciences,Man,No,My views are somewhat more liberal,No,-1,No,High school,65,250,None of the above,"Yes, and I do think people can see me",,
3/7/2025 13:59:31,2027,Asian,Humanities/ Arts,Man,No,My views are somewhat more liberal,No,40,No,Mutual friends/met as friends,50,250,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 12:05:20,2026,Prefer not to answer,Physical Sciences,Woman,No,My views are much more liberal,No,25,Yes,I have not had a significant other,35,500,None of the above,No,,
3/7/2025 10:37:39,2027,"Asian, White","Physical Sciences, Social Sciences",Man,No,My views are similar to those of my parents,No,32,No,Party/social event,20,500,"Alcohol, Marijuana, Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me",,
3/7/2025 12:34:45,2028,Black,Social Sciences,Man,No,My views are similar to those of my parents,No,24,Yes,Party/social event,30,500,"Alcohol, Cocaine, Marijuana, Nicotine",No,,
